data;carga
2019-10-18;2.07
2019-10-19;2.082
2019-10-20;2.075
2019-10-21;2.081
2019-10-22;2.055
2019-10-23;2.1
2019-10-24;2.103
2019-10-25;2.11
2019-10-26;2.053
2019-10-27;2.024
2019-10-28;2.061
2019-10-29;2.031
2019-10-30;2.084
2019-10-31;2.107
2019-11-01;2.147
2019-11-02;2.126
2019-11-03;2.096
2019-11-04;2.093
2019-11-05;2.095
2019-11-06;2.174
2019-11-07;2.155
2019-11-08;2.133
2019-11-09;2.141
2019-11-10;2.236
2019-11-11;2.274
2019-11-12;2.25
2019-11-13;2.221
2019-11-14;2.239
2019-11-15;2.283
2019-11-16;2.253
2019-11-17;2.162
2019-11-18;2.089
2019-11-19;2.057
2019-11-20;2.025
2019-11-21;2.015
2019-11-22;1.937
2019-11-23;1.902
2019-11-24;1.899
2019-11-25;1.878
2019-11-26;1.858
2019-11-27;2.007
2019-11-28;2.02
2019-11-29;1.959
2019-11-30;1.95
2019-12-01;1.973
2019-12-02;1.935
2019-12-03;1.888
2019-12-04;1.9
2019-12-05;1.895
2019-12-06;1.91
2019-12-07;1.929
2019-12-08;1.872
2019-12-09;1.916
2019-12-10;1.895
2019-12-11;1.881
2019-12-12;1.906
2019-12-13;1.888
2019-12-14;1.906
2019-12-15;1.891
2019-12-16;2.002
2019-12-17;2.032
2019-12-18;2.067
2019-12-19;2.061
2019-12-20;2.027
2019-12-21;2.039
2019-12-22;1.985
2019-12-23;1.964
2019-12-24;1.917
2019-12-25;1.844
2019-12-26;1.823
2019-12-27;1.795
2019-12-28;1.791
2019-12-29;1.785
2019-12-30;1.775
2019-12-31;1.768
2020-01-01;1.808
2020-01-02;1.819
2020-01-03;1.821
2020-01-04;1.814
2020-01-05;1.83
2020-01-06;1.785
2020-01-07;1.794
2020-01-08;1.812
2020-01-09;1.849
2020-01-10;1.812
2020-01-11;1.918
2020-01-12;1.984
2020-01-13;1.96
2020-01-14;1.949
2020-01-15;1.888
2020-01-16;1.926
2020-01-17;1.961
2020-01-18;1.876
2020-01-19;1.875
2020-01-20;1.815
2020-01-21;1.813
2020-01-22;1.799
2020-01-23;1.796
2020-01-24;1.836
2020-01-25;1.759
2020-01-26;1.748
2020-01-27;1.734
2020-01-28;1.772
2020-01-29;1.783
2020-01-30;1.835
2020-01-31;1.894
2020-02-01;1.874
2020-02-02;1.875
2020-02-03;1.888
2020-02-04;1.876
2020-02-05;1.9
2020-02-06;1.904
2020-02-07;1.902
2020-02-08;1.932
2020-02-09;1.926
2020-02-10;1.932
2020-02-11;1.92
2020-02-12;1.889
2020-02-13;1.888
2020-02-14;1.898
2020-02-15;1.873
2020-02-16;1.854
2020-02-17;1.852
2020-02-18;1.836
2020-02-19;1.658
2020-02-20;1.836
2020-02-21;1.847
2020-02-22;1.839
2020-02-23;1.826
2020-02-24;1.812
2020-02-25;1.832
2020-02-26;1.991
2020-02-27;2.036
2020-02-28;2.005
2020-02-29;1.951
2020-03-01;1.887
2020-03-02;1.888
2020-03-03;1.871
2020-03-04;1.862
2020-03-05;1.848
2020-03-06;1.834
2020-03-07;1.81
2020-03-08;1.803
2020-03-09;1.802
2020-03-10;1.777
2020-03-11;1.771
2020-03-12;1.762
2020-03-13;1.779
2020-03-14;1.766
2020-03-15;1.771
2020-03-16;1.781
2020-03-17;1.776
2020-03-18;1.787
2020-03-19;1.792
2020-03-20;1.812
2020-03-21;1.782
2020-03-22;1.79
2020-03-23;1.801
2020-03-24;1.788
2020-03-25;1.768
2020-03-26;1.801
2020-03-27;1.776
2020-03-28;1.766
2020-03-29;1.761
2020-03-30;1.753
2020-03-31;1.783
2020-04-01;1.784
2020-04-02;1.825
2020-04-03;1.803
2020-04-04;1.798
2020-04-05;1.804
2020-04-06;1.824
2020-04-07;1.802
2020-04-08;1.812
2020-04-09;1.87
2020-04-10;1.866
2020-04-11;1.841
2020-04-12;1.839
2020-04-13;1.838
2020-04-14;1.756
2020-04-15;1.715
2020-04-16;1.793
2020-04-17;1.878
2020-04-18;1.9
2020-04-19;1.88
2020-04-20;1.879
2020-04-21;1.861
2020-04-22;1.86
2020-04-23;1.859
2020-04-24;1.854
2020-04-25;1.86
2020-04-26;1.872
2020-04-27;1.873
2020-04-28;1.86
2020-04-29;1.818
2020-04-30;1.797
2020-05-01;1.781
2020-05-02;1.79
2020-05-03;1.787
2020-05-04;1.785
2020-05-05;1.796
2020-05-06;1.766
2020-05-07;1.746
2020-05-08;1.779
2020-05-09;1.772
2020-05-10;1.775
2020-05-11;1.772
2020-05-12;1.75
2020-05-13;1.736
2020-05-14;1.747
2020-05-15;1.789
2020-05-16;1.818
2020-05-17;1.819
2020-05-18;1.825
2020-05-19;1.809
2020-05-20;1.792
2020-05-21;1.785
2020-05-22;1.892
2020-05-23;1.935
2020-05-24;1.891
2020-05-25;1.856
2020-05-26;1.87
2020-05-27;1.883
2020-05-28;1.862
2020-05-29;1.835
2020-05-30;1.84
2020-05-31;1.799
2020-06-01;1.822
2020-06-02;1.745
2020-06-03;1.675
2020-06-04;1.671
2020-06-05;1.68
2020-06-06;1.737
2020-06-07;1.76
2020-06-08;1.833
2020-06-09;1.884
2020-06-10;1.987
2020-06-11;2.028
2020-06-12;1.99
2020-06-13;1.994
2020-06-14;1.98
2020-06-15;1.97
2020-06-16;1.985
2020-06-17;1.992
2020-06-18;1.956
2020-06-19;1.948
2020-06-20;1.905
2020-06-21;1.898
2020-06-22;1.881
2020-06-23;1.861
2020-06-24;1.85
2020-06-25;1.829
2020-06-26;1.864
2020-06-27;1.845
2020-06-28;1.843
2020-06-29;1.862
2020-06-30;1.926
2020-07-01;1.898
2020-07-02;1.982
2020-07-03;2.052
2020-07-04;2.038
2020-07-05;2.053
2020-07-06;2.025
2020-07-07;2.027
2020-07-08;1.987
2020-07-09;2.013
2020-07-10;2.062
2020-07-11;2.053
2020-07-12;2.04
2020-07-13;2.013
2020-07-14;2.028
2020-07-15;2.028
2020-07-16;1.978
2020-07-17;2.025
2020-07-18;2.05
2020-07-19;2.03
2020-07-20;1.991
2020-07-21;1.941
2020-07-22;1.938
2020-07-23;1.891
2020-07-24;1.905
2020-07-25;1.889
2020-07-26;1.894
2020-07-27;1.886
2020-07-28;1.921
2020-07-29;1.966
2020-07-30;1.956
2020-07-31;1.93
2020-08-01;1.898
2020-08-02;1.908
2020-08-03;1.903
2020-08-04;1.888
2020-08-05;1.841
2020-08-06;1.805
2020-08-07;1.803
2020-08-08;1.786
2020-08-09;1.829
2020-08-10;1.789
2020-08-11;1.788
2020-08-12;1.87
2020-08-13;2.002
2020-08-14;2.026
2020-08-15;2.103
2020-08-16;2.116
2020-08-17;2.062
2020-08-18;2.052
2020-08-19;2.035
2020-08-20;2.01
2020-08-21;2.035
2020-08-22;2.002
2020-08-23;2.02
2020-08-24;2.032
2020-08-25;2.025
2020-08-26;1.984
2020-08-27;1.972
2020-08-28;1.935
2020-08-29;1.851
2020-08-30;1.845
2020-08-31;1.84
2020-09-01;1.82
2020-09-02;1.827
2020-09-03;1.82
2020-09-04;1.838
2020-09-05;1.831
2020-09-06;1.862
2020-09-07;1.848
2020-09-08;1.966
2020-09-09;1.983
2020-09-10;1.953
2020-09-11;1.936
2020-09-12;1.912
2020-09-13;1.879
2020-09-14;1.899
2020-09-15;1.866
2020-09-16;1.871
2020-09-17;1.865
2020-09-18;1.907
2020-09-19;1.872
2020-09-20;1.818
2020-09-21;1.829
2020-09-22;1.733
2020-09-23;1.802
2020-09-24;1.81
2020-09-25;1.789
2020-09-26;1.812
2020-09-27;1.789
2020-09-28;1.864
2020-09-29;1.885
2020-09-30;1.826
2020-10-01;1.811
2020-10-02;1.82
2020-10-03;1.801
2020-10-04;1.822
2020-10-05;1.838
2020-10-06;1.793
2020-10-07;1.776
2020-10-08;1.786
2020-10-09;1.818
2020-10-10;1.85
2020-10-11;1.818
2020-10-12;1.8
2020-10-13;1.753
2020-10-14;1.743
2020-10-15;1.703
2020-10-16;1.707
2020-10-17;1.74
2020-10-18;1.781
2020-10-19;1.76
2020-10-20;1.774
2020-10-21;1.773
2020-10-22;1.78
2020-10-23;1.784
2020-10-24;1.777
2020-10-25;1.773
2020-10-26;1.757
2020-10-27;1.722
2020-10-28;1.751
2020-10-29;1.745
2020-10-30;1.742
2020-10-31;1.801
2020-11-01;1.805
2020-11-02;1.788
2020-11-03;1.768
2020-11-04;1.751
2020-11-05;1.711
2020-11-06;1.71
2020-11-07;1.691
2020-11-08;1.678
2020-11-09;1.674
2020-11-10;1.68
2020-11-11;1.694
2020-11-12;1.722
2020-11-13;1.744
2020-11-14;1.734
2020-11-15;1.7
2020-11-16;1.731
2020-11-17;1.765
2020-11-18;1.731
2020-11-19;1.747
2020-11-20;1.761
2020-11-21;1.788
2020-11-22;1.749
2020-11-23;1.697
2020-11-24;1.691
2020-11-25;1.677
2020-11-26;1.662
2020-11-27;1.694
2020-11-28;1.652
2020-11-29;1.697
2020-11-30;1.752
2020-12-01;1.76
2020-12-02;1.689
2020-12-03;1.767
2020-12-04;1.879
2020-12-05;1.871
2020-12-06;1.923
2020-12-07;1.927
2020-12-08;1.861
2020-12-09;1.814
2020-12-10;1.779
2020-12-11;1.734
2020-12-12;1.729
2020-12-13;1.707
2020-12-14;1.771
2020-12-15;1.801
2020-12-16;1.786
2020-12-17;1.784
2020-12-18;1.813
2020-12-19;1.773
2020-12-20;1.819
2020-12-21;1.865
2020-12-22;1.857
2020-12-23;1.836
2020-12-24;1.813
2020-12-25;1.792
2020-12-26;1.762
2020-12-27;1.725
2020-12-28;1.73
2020-12-29;1.801
2020-12-30;1.824
2020-12-31;1.838
2021-01-01;1.882
2021-01-02;1.833
2021-01-03;1.793
2021-01-04;1.748
2021-01-05;1.773
2021-01-06;1.831
2021-01-07;1.841
2021-01-08;1.814
2021-01-09;1.789
2021-01-10;1.796
2021-01-11;1.783
2021-01-12;1.805
2021-01-13;1.82
2021-01-14;1.851
2021-01-15;1.841
2021-01-16;1.826
2021-01-17;1.858
2021-01-18;1.947
2021-01-19;1.963
2021-01-20;2.054
2021-01-21;2.091
2021-01-22;2.176
2021-01-23;2.192
2021-01-24;2.17
2021-01-25;2.19
2021-01-26;2.205
2021-01-27;2.121
2021-01-28;2.164
2021-01-29;2.177
2021-01-30;2.178
2021-01-31;2.187
2021-02-01;2.161
2021-02-02;2.162
2021-02-03;2.152
2021-02-04;2.137
2021-02-05;2.158
2021-02-06;2.179
2021-02-07;2.113
2021-02-08;2.075
2021-02-09;2.016
2021-02-10;1.983
2021-02-11;1.964
2021-02-12;2.011
2021-02-13;2.008
2021-02-14;1.975
2021-02-15;1.996
2021-02-16;1.929
2021-02-17;1.877
2021-02-18;1.861
2021-02-19;1.859
2021-02-20;1.828
2021-02-21;1.787
2021-02-22;1.781
2021-02-23;1.769
2021-02-24;1.793
2021-02-25;1.812
2021-02-26;1.856
2021-02-27;1.827
2021-02-28;1.84
2021-03-01;1.848
2021-03-02;3.298
2021-03-03;3.944
2021-03-04;3.934
2021-03-05;3.934
2021-03-06;3.895
2021-03-07;3.896
2021-03-08;3.965
2021-03-09;3.966
2021-03-10;3.86
2021-03-11;3.909
2021-03-12;3.909
2021-03-13;4.051
2021-03-14;4.054
2021-03-15;4.055
2021-03-16;4.054
2021-03-17;4.054
2021-03-18;4.032
