Instante,CargaEnergiaGWh,CargaEnergiaMWMed,IdSubSistema
"1996-11-29T22:00:00",52.59576,2191.49,"N  "
"1996-11-29T22:00:00",119.69376,4987.24,"NE "
"1996-11-29T22:00:00",125.86512,5244.38,"S  "
"1996-11-29T22:00:00",516.0813,21503.3875,"SE "
"1996-11-30T22:00:00",50.064,2086.0,"N  "
"1996-11-30T22:00:00",108.40248,4516.77,"NE "
"1996-11-30T22:00:00",105.32184,4388.41,"S  "
"1996-11-30T22:00:00",454.0414,18918.39166667,"SE "
"1996-12-01T22:00:00",53.61936,2234.14,"N  "
"1996-12-01T22:00:00",123.55368,5148.07,"NE "
"1996-12-01T22:00:00",140.33544,5847.31,"S  "
"1996-12-01T22:00:00",557.7896,23241.23333333,"SE "
"1996-12-02T22:00:00",56.63688,2359.87,"N  "
"1996-12-02T22:00:00",125.63232,5234.68,"NE "
"1996-12-02T22:00:00",145.41744,6059.06,"S  "
"1996-12-02T22:00:00",570.5394,23772.475,"SE "
"1996-12-03T22:00:00",54.43848,2268.27,"N  "
"1996-12-03T22:00:00",124.97496,5207.29,"NE "
"1996-12-03T22:00:00",146.78664,6116.11,"S  "
"1996-12-03T22:00:00",575.8531,23993.87916667,"SE "
"1996-12-04T22:00:00",54.40488,2266.87,"N  "
"1996-12-04T22:00:00",127.10496,5296.04,"NE "
"1996-12-04T22:00:00",148.566,6190.25,"S  "
"1996-12-04T22:00:00",580.0832,24170.13333333,"SE "
"1996-12-05T22:00:00",56.11368,2338.07,"N  "
"1996-12-05T22:00:00",128.7264,5363.6,"NE "
"1996-12-05T22:00:00",146.81352,6117.23,"S  "
"1996-12-05T22:00:00",582.9274,24288.64166667,"SE "
"1996-12-06T22:00:00",53.08224,2211.76,"N  "
"1996-12-06T22:00:00",123.68376,5153.49,"NE "
"1996-12-06T22:00:00",124.848,5202.0,"S  "
"1996-12-06T22:00:00",530.0653,22086.05416667,"SE "
"1996-12-07T22:00:00",3.2928,137.2,"S  "
"1996-12-07T22:00:00",5.6458,235.24166667,"SE "
"1996-12-08T22:00:00",54.69432,2278.93,"N  "
"1996-12-08T22:00:00",127.35672,5306.53,"NE "
"1996-12-08T22:00:00",138.94128,5789.22,"S  "
"1996-12-08T22:00:00",561.6335,23401.39583333,"SE "
"1996-12-09T22:00:00",55.82928,2326.22,"N  "
"1996-12-09T22:00:00",129.07848,5378.27,"NE "
"1996-12-09T22:00:00",144.02112,6000.88,"S  "
"1996-12-09T22:00:00",579.1049,24129.37083333,"SE "
"1996-12-10T22:00:00",56.7168,2363.2,"N  "
"1996-12-10T22:00:00",128.53344,5355.56,"NE "
"1996-12-10T22:00:00",142.998,5958.25,"S  "
"1996-12-10T22:00:00",588.3559,24514.82916667,"SE "
"1996-12-11T22:00:00",56.99376,2374.74,"N  "
"1996-12-11T22:00:00",130.41768,5434.07,"NE "
"1996-12-11T22:00:00",135.48408,5645.17,"S  "
"1996-12-11T22:00:00",583.7968,24324.86666667,"SE "
"1996-12-12T22:00:00",56.85696,2369.04,"N  "
"1996-12-12T22:00:00",129.95256,5414.69,"NE "
"1996-12-12T22:00:00",139.64784,5818.66,"S  "
"1996-12-12T22:00:00",586.7682,24448.675,"SE "
"1996-12-13T22:00:00",55.09608,2295.67,"N  "
"1996-12-13T22:00:00",123.7608,5156.7,"NE "
"1996-12-13T22:00:00",121.54536,5064.39,"S  "
"1996-12-13T22:00:00",519.691,21653.79166667,"SE "
"1996-12-14T22:00:00",51.5604,2148.35,"N  "
"1996-12-14T22:00:00",115.78344,4824.31,"NE "
"1996-12-14T22:00:00",104.39184,4349.66,"S  "
"1996-12-14T22:00:00",458.5681,19107.00416667,"SE "
"1996-12-15T22:00:00",57.50592,2396.08,"N  "
"1996-12-15T22:00:00",129.01704,5375.71,"NE "
"1996-12-15T22:00:00",140.94048,5872.52,"S  "
"1996-12-15T22:00:00",570.6289,23776.20416667,"SE "
"1996-12-16T22:00:00",56.58672,2357.78,"N  "
"1996-12-16T22:00:00",132.42984,5517.91,"NE "
"1996-12-16T22:00:00",143.4792,5978.3,"S  "
"1996-12-16T22:00:00",575.7475,23989.47916667,"SE "
"1996-12-17T22:00:00",57.58968,2399.57,"N  "
"1996-12-17T22:00:00",131.04144,5460.06,"NE "
"1996-12-17T22:00:00",143.37504,5973.96,"S  "
"1996-12-17T22:00:00",579.7761,24157.3375,"SE "
"1996-12-18T22:00:00",57.20304,2383.46,"N  "
"1996-12-18T22:00:00",130.17096,5423.79,"NE "
"1996-12-18T22:00:00",141.90984,5912.91,"S  "
"1996-12-18T22:00:00",572.8616,23869.23333333,"SE "
"1996-12-19T22:00:00",56.98008,2374.17,"N  "
"1996-12-19T22:00:00",128.9472,5372.8,"NE "
"1996-12-19T22:00:00",138.6912,5778.8,"S  "
"1996-12-19T22:00:00",579.286,24136.91666667,"SE "
"1996-12-20T22:00:00",55.6296,2317.9,"N  "
"1996-12-20T22:00:00",121.26528,5052.72,"NE "
"1996-12-20T22:00:00",123.40008,5141.67,"S  "
"1996-12-20T22:00:00",520.2822,21678.425,"SE "
"1996-12-21T22:00:00",52.9656,2206.9,"N  "
"1996-12-21T22:00:00",112.10184,4670.91,"NE "
"1996-12-21T22:00:00",107.886,4495.25,"S  "
"1996-12-21T22:00:00",480.0652,20002.71666667,"SE "
"1996-12-22T22:00:00",17.54688,731.12,"N  "
"1996-12-22T22:00:00",126.12936,5255.39,"NE "
"1996-12-22T22:00:00",129.28368,5386.82,"S  "
"1996-12-22T22:00:00",528.1898,22007.90833333,"SE "
"1996-12-23T22:00:00",39.01056,1625.44,"N  "
"1996-12-23T22:00:00",124.1544,5173.1,"NE "
"1996-12-23T22:00:00",122.66712,5111.13,"S  "
"1996-12-23T22:00:00",495.816,20659.0,"SE "
"1996-12-24T22:00:00",37.8624,1577.6,"N  "
"1996-12-24T22:00:00",106.84896,4452.04,"NE "
"1996-12-24T22:00:00",102.56616,4273.59,"S  "
"1996-12-24T22:00:00",417.4154,17392.30833333,"SE "
"1996-12-25T22:00:00",39.79944,1658.31,"N  "
"1996-12-25T22:00:00",124.9044,5204.35,"NE "
"1996-12-25T22:00:00",128.8956,5370.65,"S  "
"1996-12-25T22:00:00",517.9751,21582.29583333,"SE "
"1996-12-26T22:00:00",45.28056,1886.69,"N  "
"1996-12-26T22:00:00",128.50104,5354.21,"NE "
"1996-12-26T22:00:00",131.47344,5478.06,"S  "
"1996-12-26T22:00:00",540.607,22525.29166667,"SE "
"1996-12-27T22:00:00",54.84744,2285.31,"N  "
"1996-12-27T22:00:00",126.21528,5258.97,"NE "
"1996-12-27T22:00:00",121.11456,5046.44,"S  "
